Время, с;Напряжение, В;Ток, А
23.048000335693;-2.300563097;-0.02459361963
23.228000640869;-2.300563097;-0.02459361963
23.408000946045;-2.300563097;-0.024578530341
23.587999343872;-2.300563097;-0.024563442916
23.767999649048;-2.300563097;-0.02454835549
23.947999954224;-2.300563097;-0.024563442916
24.128000259399;-2.300563097;-0.024563442916
24.308000564575;-2.300563097;-0.024563442916
24.488000869751;-2.300563097;-0.024563442916
24.667999267578;-2.300563097;-0.02454835549
24.847999572754;-2.300563097;-0.024533266202
25.02799987793;-2.300563097;-0.024533266202
25.208000183105;-2.300563097;-0.024518178776
25.388000488281;-2.300563097;-0.02450309135
25.568000793457;-2.300563097;-0.024518178776
25.747999191284;-2.300563097;-0.024518178776
25.92799949646;-2.300563097;-0.02450309135
26.107999801636;-2.300563097;-0.02450309135
26.288000106812;-2.300563097;-0.02450309135
26.468000411987;-2.300563097;-0.024488002062
26.648000717163;-2.300563097;-0.024488002062
26.82799911499;-2.300563097;-0.024472914636
27.007999420166;-2.300563097;-0.02445782721
27.187999725342;-2.300563097;-0.02445782721
27.368000030518;-2.300563097;-0.024472914636
27.548000335693;-2.300563097;-0.024472914636
27.728000640869;-2.300563097;-0.024472914636
27.908000946045;-2.300563097;-0.024472914636
28.087999343872;-2.300563097;-0.02445782721
28.267999649048;-2.300563097;-0.024472914636
28.447999954224;-2.300563097;-0.02445782721
28.628000259399;-2.300563097;-0.02445782721
28.808000564575;-2.300563097;-0.02445782721
28.988000869751;-2.300563097;-0.024442737922
29.167999267578;-2.300563097;-0.024427650496
29.347999572754;-2.300563097;-0.024412561208
29.52799987793;-2.300563097;-0.024412561208
29.708000183105;-2.300563097;-0.024412561208
29.888000488281;-2.300563097;-0.024412561208
30.068000793457;-2.300563097;-0.024412561208
30.247999191284;-2.300563097;-0.024397473782
30.42799949646;-2.300563097;-0.024397473782
30.607999801636;-2.300563097;-0.024397473782
30.788000106812;-2.300563097;-0.024397473782
30.968000411987;-2.300563097;-0.024397473782
31.148000717163;-2.300563097;-0.024382386357
31.32799911499;-2.300563097;-0.024382386357
31.507999420166;-2.300563097;-0.024367297068
31.687999725342;-2.300563097;-0.024367297068
31.868000030518;-2.300563097;-0.024367297068
32.048000335693;-2.300563097;-0.024382386357
32.228000640869;-2.300563097;-0.024397473782
32.408000946045;-2.300563097;-0.024382386357
32.588001251221;-2.300563097;-0.024352209643
32.768001556396;-2.300563097;-0.024337122217
32.948001861572;-2.300563097;-0.024322032928
33.127998352051;-2.300563097;-0.024322032928
33.307998657227;-2.300563097;-0.024322032928
33.487998962402;-2.300563097;-0.024322032928
33.667999267578;-2.300563097;-0.024306945503
33.847999572754;-2.300563097;-0.024322032928
34.02799987793;-2.300563097;-0.024306945503
34.208000183105;-2.300563097;-0.024291856214
34.388000488281;-2.300563097;-0.024291856214
34.568000793457;-2.300563097;-0.024291856214
34.748001098633;-2.300563097;-0.024291856214
34.928001403809;-2.300563097;-0.024291856214
35.108001708984;-2.300563097;-0.024276768789
35.287998199463;-2.300563097;-0.024276768789
35.467998504639;-2.300563097;-0.024261681363
35.647998809814;-2.300563097;-0.024261681363
35.82799911499;-2.300563097;-0.024261681363
36.007999420166;-2.300563097;-0.024246592075
36.187999725342;-2.300563097;-0.024231504649
36.368000030518;-2.300563097;-0.024231504649
36.548000335693;-2.300563097;-0.024246592075
36.728000640869;-2.300563097;-0.024231504649
36.908000946045;-2.300563097;-0.024231504649
37.088001251221;-2.300563097;-0.024231504649
37.268001556396;-2.300563097;-0.024231504649
37.448001861572;-2.300563097;-0.024246592075
37.627998352051;-2.300563097;-0.024231504649
37.807998657227;-2.300563097;-0.024216417223
37.987998962402;-2.300563097;-0.024201327935
38.167999267578;-2.300563097;-0.024201327935
38.347999572754;-2.300563097;-0.024201327935
38.52799987793;-2.300563097;-0.024201327935
38.708000183105;-2.300563097;-0.024201327935
38.888000488281;-2.300563097;-0.024201327935
39.068000793457;-2.300563097;-0.024171153083
39.248001098633;-2.300563097;-0.024171153083
39.428001403809;-2.300563097;-0.024171153083
39.608001708984;-2.300563097;-0.024156063795
39.787998199463;-2.300563097;-0.024156063795
39.967998504639;-2.300563097;-0.024156063795
40.147998809814;-2.300563097;-0.024156063795
40.32799911499;-2.300563097;-0.024140976369
40.507999420166;-2.300563097;-0.024140976369
40.687999725342;-2.300563097;-0.024125887081
40.868000030518;-2.300563097;-0.024125887081
41.048000335693;-2.300563097;-0.024125887081
41.228000640869;-2.300563097;-0.024125887081
41.408000946045;-2.300563097;-0.024125887081
41.588001251221;-2.300563097;-0.024110799655
41.768001556396;-2.300563097;-0.024110799655
41.948001861572;-2.300563097;-0.024110799655
42.127998352051;-2.300563097;-0.02409571223
42.307998657227;-2.300563097;-0.024110799655
42.487998962402;-2.300563097;-0.02409571223
42.667999267578;-2.300563097;-0.02409571223
42.847999572754;-2.300563097;-0.02409571223
43.02799987793;-2.300563097;-0.02409571223
43.208000183105;-2.300563097;-0.024080622941
43.388000488281;-2.300563097;-0.024080622941
43.568000793457;-2.300563097;-0.024080622941
43.748001098633;-2.300563097;-0.024065535516
43.928001403809;-2.300563097;-0.024065535516
44.108001708984;-2.300563097;-0.024080622941
44.287998199463;-2.300563097;-0.024080622941
44.467998504639;-2.300563097;-0.024065535516
44.647998809814;-2.300563097;-0.024065535516
44.82799911499;-2.300563097;-0.024065535516
45.007999420166;-2.300563097;-0.02405044809
45.187999725342;-2.300563097;-0.024035358801
45.368000030518;-2.300563097;-0.024035358801
45.548000335693;-2.300563097;-0.024020271376
45.728000640869;-2.300563097;-0.024035358801
45.908000946045;-2.300563097;-0.024035358801
46.088001251221;-2.300563097;-0.024035358801
46.268001556396;-2.300563097;-0.024035358801
46.448001861572;-2.300563097;-0.024020271376
46.627998352051;-2.300563097;-0.024020271376
46.807998657227;-2.300563097;-0.024020271376
46.987998962402;-2.300563097;-0.024020271376
47.167999267578;-2.300563097;-0.024005182087
47.347999572754;-2.300563097;-0.024005182087
47.52799987793;-2.300563097;-0.024005182087
47.708000183105;-2.300563097;-0.024005182087
47.888000488281;-2.300563097;-0.024005182087
48.068000793457;-2.300563097;-0.024005182087
48.248001098633;-2.300563097;-0.024020271376
48.428001403809;-2.300563097;-0.024035358801
48.608001708984;-2.300563097;-0.024020271376
48.787998199463;-2.300563097;-0.024020271376
48.967998504639;-2.300563097;-0.024020271376
49.147998809814;-2.300563097;-0.024020271376
49.32799911499;-2.300563097;-0.024020271376
